name,aliases
Aryadhan Financial Solutions Private Limited,Aryadhan Financial Solutions
Bahadur Chand Investments Private Limited,Bahadur Chand Investments
Indian Bank,Indian Bank
The Kalupur Commercial Co-Operative Bank Limited,"The Kalupur Commercial Co-Operative Bank, Kalupur Co-operative bank"
Hiranandani Financial Services Private Limited,"Hiranandani Financial , House of Hiranandani"
Khushbu Auto Finance Limited,Khushbu Auto Finance
Namra Finance Limited,Namra Finance
Arman Financial Services Limited,Arman Financial Services
The Karur Vysya Bank Limited,"Karur Vysya Bank, KVB"
ICICI Securities Primary Dealership Limited,ICICI Securities Primary Dealership
Best Finance Corporation Limited,Best Finance Corporation
Navi Finserv Limited,"Navi Finserv , Navi Ltd"
Amrit Malwa Capital Limited,Amrit Malwa
Capital Trust Limited,Capital Trust
GIC-Bhutan Reinsurance Company Limited,GIC-Bhutan Reinsurance
Shriram Finance Limited,Shriram Finance
Muthoot Mcred Limited,Muthoot Mcred
IL&FS Financial Services Limited,"IL&FS Financial Services, IFIN"
Infrastructure Leasing & Financial Services Limited,"IL&FS, Infrastructure Leasing & Financial Services"
The Gujarat State Co Operative Bank Limited,"Gujarat State Cooperative Bank, GSC Bank"
SBI Mutual Fund - BLR,"SBI Mutual Fund, SBI MF"
HDFC Bank Limited,HDFC Bank
Cholamandalam Investment And Finance Company Limited,"Cholamandalam Finance, Chola Finance, CIFCL"
Asirvad Micro Finance Limited,Asirvad Micro Finance
IL&FS Securities Services Limited,IL&FS Securities Services
Manappuram Finance Limited,Manappuram Finance
Manappuram Home Finance Limited,Manappuram Home Finance
Viksit Capital Private Limited,Viksit Capital
Annapurna Finance Private Limited,Annapurna Finance
General Insurance Corporation of India,"GIC Re,General Insurance Corporation"
CLIX Capital Services Private Limited,Clix Capital
Meet Finance Private Limited,Meet Finance
Shriram Financial Services private Limited,"Way2Wealth Brokers, Shriram Financial Services, Shriram Capital, SOT"
SK Finance Limited,SK Finance
Axis Max Life Insurance Limited,"Axis Max Life, Max Life Insurance"
Roha Housing Finance Private Limited,Roha Housing Finance
UCO Bank,UCO Bank
Auxilo Finserve Private Limited,"Auxilo Finserve, Auxilo"
Bandhan Life Insurance Limited,"Bandhan Life, Aegon Life"
Infinity Fincorp Solutions Private Limited,"Infinity Fincorp Solutions, Partners Group india"
Mirae Asset Investment Managers (India) Private Limited (CQR),"Mirae Asset Mutual Fund, Mirae Asset"
Gosree Finance Limited,Gosree Finance
Raise Fintech Ventures Private Limited,Raise Fintech
The Clearing Corporation of India Limited,"CCIL, Clearing Corporation of India"
Multi Commodity Exchange Clearing Corporation Limited,MCXCCL
Bizloan Private Limited,Bizloan
CSA Investments Private Limited,CSA Investments
Housing and Urban Development Corporation Limited,HUDCO
Mantra Capital Limited,Mantra Capital
City Union Bank Limited,"City Union Bank, CUB"
Pantomath Capital Advisors Private Limited,Pantomath Capital Advisors
Aham Housing Finance Limited,Aham Housing Finance
NTC Finance Private Limited,NTC Finance
INFINA Finance Private Limited,INFINA Finance
Magalir Micro Capital Private Limited,Magalir Micro Capital
Kamal Autofinance Private Limited,Kamal Autofinance
Finkurve Financial Services Limited,Finkurve Financial Services
Punjab Infrastructure Development Board,"PIDB,Punjab Infrastructure Development"
Sagarmala Finance Corporation Limited,Sagarmala Finance Corporation
Capital Small Finance Bank Limited,Capital Small Finance Bank
Invesco Asset Management (India) Private Limited (BLR),"Invesco Mutual Fund, Invesco Asset Management India"
Micro Units Development and Refinance Agency Limited,MUDRA
Ceejay Finance Limited,Ceejay Finance
Integro Finserv Private Limited,Integro Finserv
Magma General Insurance Limited,"Magma General Insurance, Magma HDI General Insurance"
Grihum Housing Finance Limited,"Grihum Housing Finance, TPG India"
National Minorities Development & Finance Corporation,"NMDFC,National Minorities Development & Finance"
Netzero Finance Private Limited,"NetZero Finance, Aerem"
Kaleidofin Capital Private Limited,"Kaleidofin Capital, Kaleidofin private"
Jana Small Finance Bank Limited,"Jana Small Finance Bank, Jana SFB"
Orocorp Technologies Private Limited,"Oro Money, Orocorp"
Canara HSBC Life Insurance Company Limited,Canara HSBC
Jewel Rock Hire Purchase and Leasing Private Limited,Jewel Rock Hire Purchase and Leasing
Kanakadurga Finance Limited,Kanakadurga Finance
Samaaru Finance Private Limited,Samaaru Finance
SBI Payment Services Private Limited,"SBI Payments, SBI Payment Services"
Venkateswara Financiers Hyderabad Private Limited,Venkateswara Financiers Hyderabad
Aphelion Finance Private Limited,Aphelion Finance
Universal Sompo General Insurance Company Limited,Universal Sompo General Insurance
Trust Investment Advisors Private Limited,Trust Investment Advisors
The National Small Industries Corporation Limited,"NSIC, National Small Industries Corporation"
Chinmay Finlease Limited,Chinmay Finlease
Indusind Bank Limited,Indusind Bank
Dandona Finance Limited,Dandona Finance
Fusion Finance Limited,"Fusion Finance, Fusion Micro Finance"
India Infrastructure Finance Company Limited,"IIFCL, India Infrastructure Finance Company"
Billionbrains Garage Ventures Limited,"Groww, Billionbrains Garage Ventures"
Groww Creditserv Technology Private Limited,"Groww Credit, Groww CreditServ"
Tamilnadu Industrial Development Corporation Limited,Tamilnadu Industrial Development
PPFAS Mutual Fund,"Parag Parikh Mutual Fund, PPFAS"
Manappuram Asset Finance Limited,Manappuram Asset Finance
D. S. Integrated FinSec Private Limited,D. S. Integrated FinSec
Credila Financial Services Limited,"Credila, HDFC Credila"
Anand Rathi Share and Stock Brokers Limited,Anand Rathi
Star Health and Allied Insurance Company Limited,Star Health
Akara Capital Advisors Private Limited,"Stashfin, Akara Capital"
Maben Nidhi Limited,Maben Nidhi
RNFI Service Limited,RNFI Service
Ujjivan Small Finance Bank Limited,"Ujjivan SFB, Ujjivan"
Dvara Kshetriya Gramin Financial Services Private Limited,"Dvara KGFS, Dvara Kshetriya"
SBERBANK Branch in India,Sberbank India
Angel One Limited,Angel One
Bajaj Life Insurance Limited,"Bajaj Life Insurance, Bajaj Allianz Life Insurance"
CRSP CAPITAL PRIVATE LIMITED,CRSP CAPITAL
Bajaj Auto Credit Limited,Bajaj Auto Credit
Indiafirst Life Insurance Company Limited,"IndiaFirst Life, IndiaFirst Life Insurance"
Bajaj Finance Limited,Bajaj Finance
Hari and Company Investments Madras Limited,Hari and Company Investments Madras
Navi Limited,"Navi Ltd, Navi+Sachin, Navi+Fintech"
Tata Capital Limited- MA,Tata Capital
Tata Mutual Fund,"Tata MF,Tata Mutual Fund"
PNB Housing,PNB Housing
HDFC Mutual Fund,"HDFC MF,HDFC Mutual Fund"
Invesco Asset Management (India) Private Limited,"Invesco Mutual Fund, Invesco Asset Management"
Nippon Life India Asset Management Limited,"Nippon India Mutual Fund, Nippon India AMC"
Trustedge Capital,Trustedge Capital
Emkay Global Financial Services Limited,Emkay Global Financial Services
Bandhan Mutual Fund,Bandhan MF
Team India Guaranty Limited,Team India Guaranty
People Home Loans Limited,People Home Loans
Equirus Securities Private Limited,Equirus Securities
ICICI Home Finance Company Limited,ICICI Home Finance
Centrum Housing Finance Limited,Centrum Housing Finance
Narendra Finance,Narendra Finance
Royal Sundaram General Insurance Co. Limited,Royal Sundaram General Insurance
Altum Credo Home Finance Private Limited,Altum Credo Home Finance
Nuvama Wealth Management Limited,Nuvama Wealth Management
Nuvama Clearing Services Limited,Nuvama Clearing Services
Nuvama Wealth And Investment Limited,Nuvama Wealth and Investment
Nuvama Wealth Finance Limited,Nuvama Wealth Finance
Vastu Finserve India Private limited,Vastu Finserve India
Vastu Housing Finance Corporation Limited,Vastu Housing Finance Corporation
